LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
070901,CHEMUNG,HORSEHEADS CENTRAL SCHOOL DISTRICT,FINGER LAKES,2010-2012,76,18.6%,60,14.7%,136,33.3%,MIDDLE/HIGH,SCHOOL DISTRICT,1 RAIDER LN,HORSEHEADS,NY,14845,"(42.167, -76.8261)"
070902,CHEMUNG,ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,FINGER LAKES,2010-2012,60,22.5%,39,14.6%,99,37.1%,DISTRICT TOTAL,SCHOOL DISTRICT,2083 COLLEGE AVE,ELMIRA HEIGHTS,NY,14903,"(42.1224, -76.8244)"
070902,CHEMUNG,ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,FINGER LAKES,2010-2012,25,21.7%,14,12.2%,39,33.9%,ELEMENTARY,SCHOOL DISTRICT,2083 COLLEGE AVE,ELMIRA HEIGHTS,NY,14903,"(42.1224, -76.8244)"
200901,HAMILTON,WELLS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,,,,,,,ELEMENTARY,SCHOOL DISTRICT,1571 STATE RT 30,WELLS,NY,12190,"(43.4735, -74.2743)"
070902,CHEMUNG,ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,FINGER LAKES,2010-2012,35,22.6%,25,16.1%,60,38.7%,MIDDLE/HIGH,SCHOOL DISTRICT,2083 COLLEGE AVE,ELMIRA HEIGHTS,NY,14903,"(42.1224, -76.8244)"
080101,CHENANGO,AFTON CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,35,16.5%,58,27.4%,93,43.9%,DISTRICT TOTAL,SCHOOL DISTRICT,29 ACADEMY ST,AFTON,NY,13730,"(42.2305, -75.5277)"
080101,CHENANGO,AFTON CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,17,13.4%,37,29.1%,54,42.5%,ELEMENTARY,SCHOOL DISTRICT,29 ACADEMY ST,AFTON,NY,13730,"(42.2305, -75.5277)"
080101,CHENANGO,AFTON CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,18,21.2%,21,24.7%,39,45.9%,MIDDLE/HIGH,SCHOOL DISTRICT,29 ACADEMY ST,AFTON,NY,13730,"(42.2305, -75.5277)"
080201,CHENANGO,BAINBRIDGE GUILFORD CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,42,15.7%,50,18.7%,92,34.3%,DISTRICT TOTAL,SCHOOL DISTRICT,18 JULIAND ST,BAINBRIDGE,NY,13733,"(42.2934, -75.4846)"
080201,CHENANGO,BAINBRIDGE GUILFORD CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,18,12.2%,23,15.5%,41,27.7%,ELEMENTARY,SCHOOL DISTRICT,18 JULIAND ST,BAINBRIDGE,NY,13733,"(42.2934, -75.4846)"
080201,CHENANGO,BAINBRIDGE GUILFORD CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,22,20.4%,24,22.2%,46,42.6%,MIDDLE/HIGH,SCHOOL DISTRICT,18 JULIAND ST,BAINBRIDGE,NY,13733,"(42.2934, -75.4846)"
080601,CHENANGO,GREENE CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,61,16.4%,71,19%,132,35.4%,DISTRICT TOTAL,SCHOOL DISTRICT,40 S CANAL ST,GREENE,NY,13778,"(42.3265, -75.7751)"
080601,CHENANGO,GREENE CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,25,11.5%,37,17.1%,62,28.6%,ELEMENTARY,SCHOOL DISTRICT,40 S CANAL ST,GREENE,NY,13778,"(42.3265, -75.7751)"
080601,CHENANGO,GREENE CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,36,23.2%,34,21.9%,70,45.2%,MIDDLE/HIGH,SCHOOL DISTRICT,40 S CANAL ST,GREENE,NY,13778,"(42.3265, -75.7751)"
081003,CHENANGO,UNADILLA VALLEY CENTRAL SCHOOLS,NEW YORK - PENN,2010-2012,72,22.6%,63,19.7%,135,42.3%,DISTRICT TOTAL,SCHOOL DISTRICT,4238 STATE HWY 8,NEW BERLIN,NY,13411,"(42.5843, -75.3356)"
081003,CHENANGO,UNADILLA VALLEY CENTRAL SCHOOLS,NEW YORK - PENN,2010-2012,38,20.4%,34,18.3%,72,38.7%,ELEMENTARY,SCHOOL DISTRICT,4238 STATE HWY 8,NEW BERLIN,NY,13411,"(42.5843, -75.3356)"
081003,CHENANGO,UNADILLA VALLEY CENTRAL SCHOOLS,NEW YORK - PENN,2010-2012,34,26.2%,29,22.3%,63,48.5%,MIDDLE/HIGH,SCHOOL DISTRICT,4238 STATE HWY 8,NEW BERLIN,NY,13411,"(42.5843, -75.3356)"
081200,CHENANGO,NORWICH CITY SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,148,21.6%,136,19.8%,284,41.4%,DISTRICT TOTAL,SCHOOL DISTRICT,89 MIDLAND DR,NORWICH,NY,13815,"(42.5268, -75.5163)"
081200,CHENANGO,NORWICH CITY SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,97,23.7%,88,21.5%,185,45.2%,ELEMENTARY,SCHOOL DISTRICT,89 MIDLAND DR,NORWICH,NY,13815,"(42.5268, -75.5163)"
081200,CHENANGO,NORWICH CITY SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,51,18.8%,48,17.6%,99,36.4%,MIDDLE/HIGH,SCHOOL DISTRICT,89 MIDLAND DR,NORWICH,NY,13815,"(42.5268, -75.5163)"
081401,CHENANGO,GEORGETOWN-SO OTSELIC CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,12,16.9%,12,16.9%,24,33.8%,DISTRICT TOTAL,SCHOOL DISTRICT,125 COUNTY RD 13A,SOUTH OTSELIC,NY,13155,"(42.6495, -75.7846)"
081401,CHENANGO,GEORGETOWN-SO OTSELIC CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,,,,,,,ELEMENTARY,SCHOOL DISTRICT,125 COUNTY RD 13A,SOUTH OTSELIC,NY,13155,"(42.6495, -75.7846)"
081401,CHENANGO,GEORGETOWN-SO OTSELIC CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,125 COUNTY RD 13A,SOUTH OTSELIC,NY,13155,"(42.6495, -75.7846)"
081501,CHENANGO,OXFORD ACAD&CENT SCHOOL,NEW YORK - PENN,2010-2012,32,13.3%,59,24.6%,91,37.9%,DISTRICT TOTAL,SCHOOL DISTRICT,12 FORT HILL PARK,OXFORD,NY,13830,"(42.4409, -75.5961)"
081501,CHENANGO,OXFORD ACAD&CENT SCHOOL,NEW YORK - PENN,2010-2012,20,13.5%,33,22.3%,53,35.8%,ELEMENTARY,SCHOOL DISTRICT,12 FORT HILL PARK,OXFORD,NY,13830,"(42.4409, -75.5961)"
081501,CHENANGO,OXFORD ACAD&CENT SCHOOL,NEW YORK - PENN,2010-2012,8,9.1%,26,29.5%,34,38.6%,MIDDLE/HIGH,SCHOOL DISTRICT,12 FORT HILL PARK,OXFORD,NY,13830,"(42.4409, -75.5961)"
082001,CHENANGO,SHERBURNE EARLVILLE CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,79,15.7%,132,26.3%,211,42%,DISTRICT TOTAL,SCHOOL DISTRICT,15 SCHOOL ST,SHERBURNE,NY,13460,"(42.6886, -75.5007)"
082001,CHENANGO,SHERBURNE EARLVILLE CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,52,17%,72,23.6%,124,40.7%,ELEMENTARY,SCHOOL DISTRICT,15 SCHOOL ST,SHERBURNE,NY,13460,"(42.6886, -75.5007)"
082001,CHENANGO,SHERBURNE EARLVILLE CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,27,15.5%,37,21.3%,64,36.8%,MIDDLE/HIGH,SCHOOL DISTRICT,15 SCHOOL ST,SHERBURNE,NY,13460,"(42.6886, -75.5007)"
090201,CLINTON,AUSABLE VALLEY CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,40,16.1%,59,23.8%,99,39.9%,DISTRICT TOTAL,SCHOOL DISTRICT,1273 RT 9N,CLINTONVILLE,NY,12924,"(44.4667, -73.576)"
090201,CLINTON,AUSABLE VALLEY CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,16,13.9%,24,20.9%,40,34.8%,ELEMENTARY,SCHOOL DISTRICT,1273 RT 9N,CLINTONVILLE,NY,12924,"(44.4667, -73.576)"
090201,CLINTON,AUSABLE VALLEY CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,24,18%,35,26.3%,59,44.4%,MIDDLE/HIGH,SCHOOL DISTRICT,1273 RT 9N,CLINTONVILLE,NY,12924,"(44.4667, -73.576)"
090301,CLINTON,BEEKMANTOWN CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,99,18.6%,125,23.5%,224,42.1%,DISTRICT TOTAL,SCHOOL DISTRICT,37 EAGLE WAY,WEST CHAZY,NY,12992,"(44.7734, -73.5055)"
090301,CLINTON,BEEKMANTOWN CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,60,18.5%,67,20.7%,127,39.2%,ELEMENTARY,SCHOOL DISTRICT,37 EAGLE WAY,WEST CHAZY,NY,12992,"(44.7734, -73.5055)"
090301,CLINTON,BEEKMANTOWN CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,39,18.7%,58,27.8%,97,46.4%,MIDDLE/HIGH,SCHOOL DISTRICT,37 EAGLE WAY,WEST CHAZY,NY,12992,"(44.7734, -73.5055)"
090501,CLINTON,NORTHEASTERN CLINTON CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,63,17.5%,79,22%,142,39.6%,DISTRICT TOTAL,SCHOOL DISTRICT,103 RT 276,CHAMPLAIN,NY,12919,"(44.9907, -73.4134)"
090501,CLINTON,NORTHEASTERN CLINTON CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,29,16.7%,35,20.1%,64,36.8%,ELEMENTARY,SCHOOL DISTRICT,103 RT 276,CHAMPLAIN,NY,12919,"(44.9907, -73.4134)"
090501,CLINTON,NORTHEASTERN CLINTON CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,34,18.4%,44,23.8%,78,42.2%,MIDDLE/HIGH,SCHOOL DISTRICT,103 RT 276,CHAMPLAIN,NY,12919,"(44.9907, -73.4134)"
090601,CLINTON,CHAZY UNION FREE SCHOOL,NORTHEASTERN NEW YORK,2010-2012,27,19%,21,14.8%,48,33.8%,DISTRICT TOTAL,SCHOOL DISTRICT,609 MINER FARM RD,CHAZY,NY,12921,"(44.8876, -73.4345)"
090601,CLINTON,CHAZY UNION FREE SCHOOL,NORTHEASTERN NEW YORK,2010-2012,14,19.2%,5,6.8%,19,26%,ELEMENTARY,SCHOOL DISTRICT,609 MINER FARM RD,CHAZY,NY,12921,"(44.8876, -73.4345)"
090601,CLINTON,CHAZY UNION FREE SCHOOL,NORTHEASTERN NEW YORK,2010-2012,14,23.3%,12,20%,26,43.3%,MIDDLE/HIGH,SCHOOL DISTRICT,609 MINER FARM RD,CHAZY,NY,12921,"(44.8876, -73.4345)"
090901,CLINTON,NORTHERN ADIRONDACK CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,48,17.6%,61,22.3%,109,39.9%,DISTRICT TOTAL,SCHOOL DISTRICT,5572 RT 11,ELLENBURG DEPOT,NY,12935,"(44.8607, -73.7854)"
090901,CLINTON,NORTHERN ADIRONDACK CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,26,16.7%,40,25.6%,66,42.3%,ELEMENTARY,SCHOOL DISTRICT,5572 RT 11,ELLENBURG DEPOT,NY,12935,"(44.8607, -73.7854)"
090901,CLINTON,NORTHERN ADIRONDACK CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,22,19.6%,21,18.8%,43,38.4%,MIDDLE/HIGH,SCHOOL DISTRICT,5572 RT 11,ELLENBURG DEPOT,NY,12935,"(44.8607, -73.7854)"
091101,CLINTON,PERU CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,69,18%,56,14.6%,125,32.6%,DISTRICT TOTAL,SCHOOL DISTRICT,17 SCHOOL ST,PERU,NY,12972,"(44.5821, -73.5333)"
091101,CLINTON,PERU CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,35,15.8%,36,16.3%,71,32.1%,ELEMENTARY,SCHOOL DISTRICT,17 SCHOOL ST,PERU,NY,12972,"(44.5821, -73.5333)"
091101,CLINTON,PERU CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,34,21%,20,12.3%,54,33.3%,MIDDLE/HIGH,SCHOOL DISTRICT,17 SCHOOL ST,PERU,NY,12972,"(44.5821, -73.5333)"
091200,CLINTON,PLATTSBURGH CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,108,18.6%,112,19.3%,220,37.9%,DISTRICT TOTAL,SCHOOL DISTRICT,49 BROAD ST,PLATTSBURGH,NY,12901,"(44.6948, -73.4594)"
091200,CLINTON,PLATTSBURGH CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,67,17.3%,73,18.9%,140,36.2%,ELEMENTARY,SCHOOL DISTRICT,49 BROAD ST,PLATTSBURGH,NY,12901,"(44.6948, -73.4594)"
091200,CLINTON,PLATTSBURGH CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,41,21.9%,38,20.3%,79,42.2%,MIDDLE/HIGH,SCHOOL DISTRICT,49 BROAD ST,PLATTSBURGH,NY,12901,"(44.6948, -73.4594)"
091402,CLINTON,SARANAC CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,70,21.7%,71,22%,141,43.7%,DISTRICT TOTAL,SCHOOL DISTRICT,32 EMMONS ST,DANNEMORA,NY,12929,"(44.7135, -73.7224)"
091402,CLINTON,SARANAC CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,41,29.7%,24,17.4%,65,47.1%,ELEMENTARY,SCHOOL DISTRICT,32 EMMONS ST,DANNEMORA,NY,12929,"(44.7135, -73.7224)"
091402,CLINTON,SARANAC CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,29,15.7%,47,25.4%,76,41.1%,MIDDLE/HIGH,SCHOOL DISTRICT,32 EMMONS ST,DANNEMORA,NY,12929,"(44.7135, -73.7224)"
100501,COLUMBIA,TACONIC HILLS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,68,17.4%,59,15.1%,127,32.6%,DISTRICT TOTAL,SCHOOL DISTRICT,73 COUNTY RT 11A,CRARYVILLE,NY,12521,"(42.1712, -73.6033)"
100501,COLUMBIA,TACONIC HILLS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,29,14.7%,30,15.2%,59,29.9%,ELEMENTARY,SCHOOL DISTRICT,73 COUNTY RT 11A,CRARYVILLE,NY,12521,"(42.1712, -73.6033)"
100501,COLUMBIA,TACONIC HILLS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,39,20.2%,29,15%,68,35.2%,MIDDLE/HIGH,SCHOOL DISTRICT,73 COUNTY RT 11A,CRARYVILLE,NY,12521,"(42.1712, -73.6033)"
100902,COLUMBIA,GERMANTOWN CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,25,13.3%,29,15.4%,54,28.7%,DISTRICT TOTAL,SCHOOL DISTRICT,123 MAIN ST,GERMANTOWN,NY,12526,"(42.1336, -73.8902)"
100902,COLUMBIA,GERMANTOWN CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,14,10.7%,19,14.5%,33,25.2%,ELEMENTARY,SCHOOL DISTRICT,123 MAIN ST,GERMANTOWN,NY,12526,"(42.1336, -73.8902)"
100902,COLUMBIA,GERMANTOWN CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,11,20.8%,6,11.3%,17,32.1%,MIDDLE/HIGH,SCHOOL DISTRICT,123 MAIN ST,GERMANTOWN,NY,12526,"(42.1336, -73.8902)"
101001,COLUMBIA,CHATHAM CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,66,19%,53,15.3%,119,34.3%,DISTRICT TOTAL,SCHOOL DISTRICT,50 WOODBRIDGE AVE,CHATHAM,NY,12037,"(42.3589, -73.6038)"
101001,COLUMBIA,CHATHAM CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,27,16.6%,22,13.5%,49,30.1%,ELEMENTARY,SCHOOL DISTRICT,50 WOODBRIDGE AVE,CHATHAM,NY,12037,"(42.3589, -73.6038)"
101001,COLUMBIA,CHATHAM CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,39,21.5%,31,17.1%,70,38.7%,MIDDLE/HIGH,SCHOOL DISTRICT,50 WOODBRIDGE AVE,CHATHAM,NY,12037,"(42.3589, -73.6038)"
101300,COLUMBIA,HUDSON CITY SCHOOLS,NORTHEASTERN NEW YORK,2010-2012,151,18.8%,216,26.8%,367,45.6%,DISTRICT TOTAL,SCHOOL DISTRICT,215 HARRY HOWARD AVE,HUDSON,NY,12534,"(42.26, -73.7713)"
101300,COLUMBIA,HUDSON CITY SCHOOLS,NORTHEASTERN NEW YORK,2010-2012,95,17.3%,142,25.9%,237,43.2%,ELEMENTARY,SCHOOL DISTRICT,215 HARRY HOWARD AVE,HUDSON,NY,12534,"(42.26, -73.7713)"
101300,COLUMBIA,HUDSON CITY SCHOOLS,NORTHEASTERN NEW YORK,2010-2012,56,22.3%,74,29.5%,130,51.8%,MIDDLE/HIGH,SCHOOL DISTRICT,215 HARRY HOWARD AVE,HUDSON,NY,12534,"(42.26, -73.7713)"
101401,COLUMBIA,KINDERHOOK CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,104,19.9%,76,14.5%,180,34.4%,DISTRICT TOTAL,SCHOOL DISTRICT,2910 RT 9,VALATIE,NY,12184,"(42.4239, -73.6867)"
101401,COLUMBIA,KINDERHOOK CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,43,16.7%,34,13.2%,77,30%,ELEMENTARY,SCHOOL DISTRICT,2910 RT 9,VALATIE,NY,12184,"(42.4239, -73.6867)"
101401,COLUMBIA,KINDERHOOK CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,61,22.9%,42,15.8%,103,38.7%,MIDDLE/HIGH,SCHOOL DISTRICT,2910 RT 9,VALATIE,NY,12184,"(42.4239, -73.6867)"
101601,COLUMBIA,NEW LEBANON CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,17,11.3%,27,18%,44,29.3%,DISTRICT TOTAL,SCHOOL DISTRICT,14665 RT 22,NEW LEBANON,NY,12125,"(42.4757, -73.3798)"
101601,COLUMBIA,NEW LEBANON CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,10,14.1%,11,15.5%,21,29.6%,ELEMENTARY,SCHOOL DISTRICT,14665 RT 22,NEW LEBANON,NY,12125,"(42.4757, -73.3798)"
101601,COLUMBIA,NEW LEBANON CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,6,8.7%,7,10.1%,13,18.8%,MIDDLE/HIGH,SCHOOL DISTRICT,14665 RT 22,NEW LEBANON,NY,12125,"(42.4757, -73.3798)"
110101,CORTLAND,CINCINNATUS CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,16,10.1%,38,24.1%,54,34.2%,DISTRICT TOTAL,SCHOOL DISTRICT,2809 CINCINNATUS RD,CINCINNATUS,NY,13040,"(42.5429, -75.896)"
110101,CORTLAND,CINCINNATUS CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,7,8.2%,23,27.1%,30,35.3%,ELEMENTARY,SCHOOL DISTRICT,2809 CINCINNATUS RD,CINCINNATUS,NY,13040,"(42.5429, -75.896)"
110101,CORTLAND,CINCINNATUS CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,,,11,18.3%,11,18.3%,MIDDLE/HIGH,SCHOOL DISTRICT,2809 CINCINNATUS RD,CINCINNATUS,NY,13040,"(42.5429, -75.896)"
110200,CORTLAND,CORTLAND CITY SCHOOLS,CENTRAL NEW YORK,2010-2012,147,19.1%,112,14.6%,259,33.7%,DISTRICT TOTAL,SCHOOL DISTRICT,1 VALLEY VIEW DR,CORTLAND,NY,13045,"(42.5885, -76.18)"
110200,CORTLAND,CORTLAND CITY SCHOOLS,CENTRAL NEW YORK,2010-2012,109,22.6%,69,14.3%,178,36.9%,ELEMENTARY,SCHOOL DISTRICT,1 VALLEY VIEW DR,CORTLAND,NY,13045,"(42.5885, -76.18)"
110200,CORTLAND,CORTLAND CITY SCHOOLS,CENTRAL NEW YORK,2010-2012,38,13.5%,43,15.3%,81,28.8%,MIDDLE/HIGH,SCHOOL DISTRICT,1 VALLEY VIEW DR,CORTLAND,NY,13045,"(42.5885, -76.18)"
110304,CORTLAND,MCGRAW CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,25,16.1%,28,18.1%,53,34.2%,DISTRICT TOTAL,SCHOOL DISTRICT,10 W ACADEMY ST,MCGRAW,NY,13101,"(42.5918, -76.0955)"
110304,CORTLAND,MCGRAW CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,19,20%,8,8.4%,27,28.4%,ELEMENTARY,SCHOOL DISTRICT,10 W ACADEMY ST,MCGRAW,NY,13101,"(42.5918, -76.0955)"
110304,CORTLAND,MCGRAW CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,6,10%,20,33.3%,26,43.3%,MIDDLE/HIGH,SCHOOL DISTRICT,10 W ACADEMY ST,MCGRAW,NY,13101,"(42.5918, -76.0955)"
110701,CORTLAND,HOMER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,110,15.9%,131,19%,241,34.9%,DISTRICT TOTAL,SCHOOL DISTRICT,80 S WEST ST,HOMER,NY,13077,"(42.6305, -76.1919)"
110701,CORTLAND,HOMER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,56,15%,63,16.9%,119,31.9%,ELEMENTARY,SCHOOL DISTRICT,80 S WEST ST,HOMER,NY,13077,"(42.6305, -76.1919)"
110701,CORTLAND,HOMER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,54,19.6%,68,24.7%,122,44.4%,MIDDLE/HIGH,SCHOOL DISTRICT,80 S WEST ST,HOMER,NY,13077,"(42.6305, -76.1919)"
110901,CORTLAND,MARATHON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,29,18.7%,34,21.9%,63,40.6%,DISTRICT TOTAL,SCHOOL DISTRICT,1 E MAIN ST,MARATHON,NY,13803,"(42.4418, -76.0327)"
110901,CORTLAND,MARATHON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,20,18.2%,25,22.7%,45,40.9%,ELEMENTARY,SCHOOL DISTRICT,1 E MAIN ST,MARATHON,NY,13803,"(42.4418, -76.0327)"
110901,CORTLAND,MARATHON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,27,25.5%,23,21.7%,50,47.2%,MIDDLE/HIGH,SCHOOL DISTRICT,1 E MAIN ST,MARATHON,NY,13803,"(42.4418, -76.0327)"
120102,DELAWARE,ANDES CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,,,5,50%,5,50%,DISTRICT TOTAL,SCHOOL DISTRICT,85 DELAWARE AVE,ANDES,NY,13731,"(42.1385, -74.7791)"
120102,DELAWARE,ANDES CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,,,,,,,ELEMENTARY,SCHOOL DISTRICT,85 DELAWARE AVE,ANDES,NY,13731,"(42.1385, -74.7791)"
120102,DELAWARE,ANDES CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,85 DELAWARE AVE,ANDES,NY,13731,"(42.1385, -74.7791)"
120301,DELAWARE,DOWNSVILLE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,25,24.3%,23,22.3%,48,46.6%,DISTRICT TOTAL,SCHOOL DISTRICT,14784 STATE HWY 30,DOWNSVILLE,NY,13755,"(42.0727, -75.0057)"
120301,DELAWARE,DOWNSVILLE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,13,27.1%,5,10.4%,18,37.5%,ELEMENTARY,SCHOOL DISTRICT,14784 STATE HWY 30,DOWNSVILLE,NY,13755,"(42.0727, -75.0057)"
120301,DELAWARE,DOWNSVILLE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,12,28.6%,14,33.3%,26,61.9%,MIDDLE/HIGH,SCHOOL DISTRICT,14784 STATE HWY 30,DOWNSVILLE,NY,13755,"(42.0727, -75.0057)"
120401,DELAWARE,CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,20,20.4%,24,24.5%,44,44.9%,DISTRICT TOTAL,SCHOOL DISTRICT,15611 ST HWY 23,DAVENPORT,NY,13750,"(42.4702, -74.848)"
120401,DELAWARE,CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,12,24%,19,38%,31,62%,ELEMENTARY,SCHOOL DISTRICT,15611 ST HWY 23,DAVENPORT,NY,13750,"(42.4702, -74.848)"
120401,DELAWARE,CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,15611 ST HWY 23,DAVENPORT,NY,13750,"(42.4702, -74.848)"
120501,DELAWARE,DELHI CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,49,20.5%,40,16.7%,89,37.2%,DISTRICT TOTAL,SCHOOL DISTRICT,2 SHELDON DR,DELHI,NY,13753,"(42.2737, -74.9163)"
120501,DELAWARE,DELHI CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,30,26.1%,11,9.6%,41,35.7%,ELEMENTARY,SCHOOL DISTRICT,2 SHELDON DR,DELHI,NY,13753,"(42.2737, -74.9163)"
120501,DELAWARE,DELHI CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,19,16.2%,29,24.8%,48,41%,MIDDLE/HIGH,SCHOOL DISTRICT,2 SHELDON DR,DELHI,NY,13753,"(42.2737, -74.9163)"
120701,DELAWARE,FRANKLIN CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,28,24.8%,29,25.7%,57,50.4%,DISTRICT TOTAL,SCHOOL DISTRICT,26 INSTITUTE ST,FRANKLIN,NY,13775,"(42.3429, -75.1637)"
120701,DELAWARE,FRANKLIN CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,15,24.2%,15,24.2%,30,48.4%,ELEMENTARY,SCHOOL DISTRICT,26 INSTITUTE ST,FRANKLIN,NY,13775,"(42.3429, -75.1637)"
